Rk,Team,Age
1,Utah Jazz,28.5
2,Los Angeles Clippers,28.8
3,Phoenix Suns,26.6
4,Milwaukee Bucks,28.1
5,Philadelphia 76ers,27.1
6,Denver Nuggets,26.1
7,Brooklyn Nets,28.2
8,Los Angeles Lakers,28.2
9,Dallas Mavericks,26.3
10,New York Knicks,25.6
11,Atlanta Hawks,25.4
12,Portland Trail Blazers,27.4
13,Boston Celtics,25.1
14,Golden State Warriors,26.7
15,Memphis Grizzlies,24.2
16,Miami Heat,27.4
17,Indiana Pacers,26.5
18,New Orleans Pelicans,24.8
19,Toronto Raptors,26.6
20,Chicago Bulls,25.6
21,San Antonio Spurs,26.2
22,Washington Wizards,26.6
23,Charlotte Hornets,24.6
24,Sacramento Kings,25.6
25,Detroit Pistons,24.5
26,Minnesota Timberwolves,23.2
27,Houston Rockets,26.5
28,Cleveland Cavaliers,24
29,Orlando Magic,25.6
30,Oklahoma City Thunder,22.8